evt_nokonoko_urouro_check_func = .text:0x805baa64; //type:function size:0x148 scope:local
_unresolved = .text:0x805babac; //type:function size:0x4 scope:local
_epilog = .text:0x805babb0; //type:function size:0x4c scope:local
_prolog = .text:0x805babfc; //type:function size:0x90 scope:local
nok_stg2_013_cb = .text:0x805bac8c; //type:function size:0x4c scope:local
pposter_nok_on = .text:0x805bacd8; //type:function size:0x20 scope:local
pposter_init = .text:0x805bacf8; //type:function size:0xc8 scope:local
draw_poster = .text:0x805badc0; //type:function size:0x68 scope:local
starstone_set_ry = .text:0x805bae28; //type:function size:0x64 scope:local
starstone_set_pos = .text:0x805bae8c; //type:function size:0x9c scope:local
starstone_entry = .text:0x805baf28; //type:function size:0xb0 scope:local
anim_tevcallback = .text:0x805bafd8; //type:function size:0x70 scope:local
yami_view = .text:0x805bb048; //type:function size:0xc0 scope:local
iri_08_msg = .text:0x805bb108; //type:function size:0x48 scope:local
_clauda_breath_effect_fire = .text:0x805bb150; //type:function size:0x15c scope:local
_clauda_breath_effect_ready = .text:0x805bb2ac; //type:function size:0x130 scope:local
_status_window_off = .text:0x805bb3dc; //type:function size:0x1c scope:local
vec3_nok_00000a60 = .rodata:0x805bb400; //type:object size:0xc scope:local
vec3_nok_00000a6c = .rodata:0x805bb40c; //type:object size:0xc scope:local
str_me_nok_00000a78 = .rodata:0x805bb418; //type:object size:0x3 scope:local
str_nok_00_nok_00000a7c = .rodata:0x805bb41c; //type:object size:0x7 scope:local
str_nok_01_nok_00000a84 = .rodata:0x805bb424; //type:object size:0x7 scope:local
str_nok_nok_00000a8c = .rodata:0x805bb42c; //type:object size:0x4 scope:local
str_me_nok_00000a90 = .rodata:0x805bb430; //type:object size:0x3 scope:local
str_stg1_nok_02_nok_00000a94 = .rodata:0x805bb434; //type:object size:0xc scope:local
str_stg1_nok_02_01_nok_00000aa0 = .rodata:0x805bb440; //type:object size:0xf scope:local
str_stg1_nok_03_nok_00000ab0 = .rodata:0x805bb450; //type:object size:0xc scope:local
str_stg7_nok_01_nok_00000abc = .rodata:0x805bb45c; //type:object size:0xc scope:local
str_stg1_nok_03_1_nok_00000ac8 = .rodata:0x805bb468; //type:object size:0xe scope:local
str_stg7_nok_01_1_nok_00000ad8 = .rodata:0x805bb478; //type:object size:0xe scope:local
str_stg1_nok_04_nok_00000ae8 = .rodata:0x805bb488; //type:object size:0xc scope:local
str_stg1_nok_04_01_nok_00000af4 = .rodata:0x805bb494; //type:object size:0xf scope:local
str_stg1_nok_05_nok_00000b04 = .rodata:0x805bb4a4; //type:object size:0xc scope:local
str_stg1_nok_05_1_nok_00000b10 = .rodata:0x805bb4b0; //type:object size:0xe scope:local
str_stg1_nok_05_1_1_nok_00000b20 = .rodata:0x805bb4c0; //type:object size:0x10 scope:local
str_KNP_O_1_nok_00000b30 = .rodata:0x805bb4d0; //type:object size:0x8 scope:local
str_イャーン_さわらないで！！_key_nok_00000b38 = .rodata:0x805bb4d8; //type:object size:0x20 scope:local
str_KNP_S_1_nok_00000b58 = .rodata:0x805bb4f8; //type:object size:0x8 scope:local
str_stg1_nok_06_nok_00000b60 = .rodata:0x805bb500; //type:object size:0xc scope:local
str_stg1_nok_06_01_nok_00000b6c = .rodata:0x805bb50c; //type:object size:0xf scope:local
str_stg1_nok_07_nok_00000b7c = .rodata:0x805bb51c; //type:object size:0xc scope:local
str_stg1_nok_07_1_nok_00000b88 = .rodata:0x805bb528; //type:object size:0xe scope:local
str_stg1_nok_07_1_1_nok_00000b98 = .rodata:0x805bb538; //type:object size:0x10 scope:local
str_stg1_nok_08_nok_00000ba8 = .rodata:0x805bb548; //type:object size:0xc scope:local
str_stg1_nok_08_01_nok_00000bb4 = .rodata:0x805bb554; //type:object size:0xf scope:local
str_stg1_nok_09_nok_00000bc4 = .rodata:0x805bb564; //type:object size:0xc scope:local
